date,bf_obs_gwei,total_gas_used,block_count,bf_median_gwei,bf_mean_gwei,bf_p90_gwei,bf_min_gwei,bf_max_gwei,weight_vs_median_pct
2023-12-12,42.428802077850385,108106962359.0,7146.0,41.229244359999996,42.79055660327932,58.0227792005,20.063433366,181.532628647,2.909482665692953
2023-12-13,47.214895018525205,107951238138.0,7137.0,47.8573599,47.59730089621578,61.39874552620001,24.75263952,136.040483637,-1.3424578430929992
2023-12-14,44.997666968455164,107686124251.0,7128.0,44.980478584,45.34436542012823,52.9028818559,30.038909697,93.184544986,0.03821298704741065
2023-12-15,56.37726248682539,107844138701.0,7134.0,46.21561719899999,56.80592736799481,106.3628062716,25.232627654,237.645010796,21.987470694311682
2023-12-16,51.17097561250472,107658432944.0,7108.0,45.472962981500004,51.677526667729744,69.8686327729,30.950372958,139.102743998,12.530550589639095
2023-12-17,39.25714777133591,107644874518.0,7122.0,34.845980092000005,39.56035557163521,45.468168688700004,23.982221518,178.661411375,12.659043217293883
2023-12-18,58.47570617780943,107799727606.0,7136.0,48.6397985515,58.870823437442134,88.99997927199999,24.563772343,289.77047289,20.221933312275404
2023-12-19,53.93996502207173,107521423941.0,7114.0,51.1501547035,54.36746308961301,67.21933272839999,34.640331637,133.295747503,5.454158124727697
2023-12-20,54.37931118940642,107579988983.0,7116.0,53.543012672,54.78955778972457,74.94783727449999,29.149958786,120.765321733,1.5619190547411175
2023-12-21,40.687972164016095,107751019186.0,7144.0,37.789572442,40.94176586026357,54.0484136111,24.378320024,119.118355682,7.669839944510093
2023-12-22,32.93130552399383,107605180103.0,7131.0,30.971975586,33.134624777930725,45.207969812,20.093084851,67.986177828,6.326138068116934
2023-12-23,21.803820148257998,107629555293.0,7127.0,21.501157991,21.95787804613161,25.716531289800013,14.105704214,37.363103792,1.4076551476189672
2023-12-24,21.128362885700398,107427708036.0,7115.0,20.501481769,21.2697038043837,25.6694548842,14.655018003,44.865452392,3.0577356493728858
2023-12-25,21.607641318735915,107288173904.0,7106.0,17.036999785,21.753055914498873,27.780938155999998,10.883090887,177.017653283,26.827737227302645
2023-12-26,18.359047196985596,107826286358.0,7142.0,16.599178263,18.47676274307911,25.92669546380001,9.991876359,83.069489931,10.60214491405512
2023-12-27,27.29305144150094,107320132740.0,7108.0,25.6770735605,27.464310572754922,46.5346026629,10.853045961,65.411695252,6.293465948108899
2023-12-28,29.640731584586145,107586891315.0,7128.0,27.628261547500003,29.814646199788022,42.597049314100005,15.877276334,79.298531162,7.284099412575038
2023-12-29,23.582635437484264,107328229193.0,7115.0,21.428592006,23.725359523651722,32.787927677000006,15.012772454,99.188189268,10.052193027339982
2023-12-30,19.01746908777929,107328398745.0,7108.0,15.438048591000001,19.154450181794456,27.532909998300006,10.783826162,104.249476147,23.185705600551106
2023-12-31,13.816166460473813,107822421080.0,7137.0,13.315077631,13.916088289378731,17.4182151912,9.650678553,27.272419556,3.7633188732387453
2024-01-01,11.947326729660181,107407637525.0,7107.0,11.129118032,12.039285228614323,16.3144888352,7.871586975,24.48330432,7.351963518650391
2024-01-02,18.637759748438828,107478678978.0,7122.0,18.120726107,18.748283625894413,26.4468488607,10.217548013,41.847270567,2.8532722054614563
2024-01-03,33.79932939389156,107766428329.0,7129.0,23.53281006,34.04643225719147,61.23527725259999,9.540405226,329.402993135,43.62640631405989
2024-01-04,22.1386521049546,107488204769.0,7128.0,20.682511192,22.27127394717621,32.6965411998,10.678936161,52.842535732,7.0404454248178245
2024-01-05,19.12187122209903,107245315367.0,7100.0,16.657218588,19.2568564535669,31.014115843700004,10.16322755,42.244438901,14.796303603019226
2024-01-06,17.235461941301338,106831408703.0,7058.0,15.590521737,17.39064357380235,26.075365743100004,9.219764061,36.027784723,10.550899014479457
2024-01-07,29.142170184294837,107394196834.0,7083.0,30.499438336,29.438956706117462,34.2904700322,10.85959529,64.993836464,-4.450141464090873
2024-01-08,23.841915321847303,107128253991.0,7089.0,23.887537699,24.037674035151788,31.866774958,12.881355591,51.622297663,-0.19098819529903385
2024-01-09,20.520827430590415,107735811426.0,7127.0,17.297422705,20.683127590552125,30.686996527600005,11.181808711,75.820132103,18.63517346233701
2024-01-10,37.86649002341206,108039914246.0,7140.0,30.4247000845,38.1589565214881,60.9450806728,13.266499233,483.496839443,24.459698594377652
2024-01-11,31.63456610966569,107494111854.0,7126.0,27.6649895055,31.850104092091357,51.5632902885,16.099059013,85.444916414,14.348737068476064
2024-01-12,24.012378594403366,108005495587.0,7150.0,20.4405703355,24.182618601378046,39.030219626000004,12.115835579,65.6760433,17.474112513876666
2024-01-13,16.69850872957498,108005730581.0,7153.0,16.230823977,16.812276519397457,20.815362523,11.306914083,31.852893977,2.881460320423131
2024-01-14,30.992242310155174,108134241314.0,7158.0,27.977257336,31.20708333550503,49.5767114955,13.004687993,68.408723672,10.776556607911713
2024-01-15,22.02336716977431,108163633646.0,7159.0,20.372918697,22.180551531285793,30.1972539146,11.456905624,42.755737256,8.101188137649354
2024-01-16,32.14754239848232,108180953706.0,7166.0,30.6592083735,32.34626099367011,44.279004701,18.473407043,74.63781379,4.854443750963738
2024-01-17,35.4568069971504,107968963473.0,7143.0,34.147050919,35.72511451209898,44.125549459000005,24.947840137,69.425665968,3.835634536221778
2024-01-18,33.61264378481455,107969323481.0,7153.0,32.87399066,33.83128121449518,43.5472331126,20.079193798,71.119953343,2.2469225974238767
2024-01-19,28.830551982814537,108078043228.0,7163.0,25.727996757,29.011468701262462,45.91344071820001,14.715134381,69.955680589,12.059062565648073
2024-01-20,15.97158477168908,108259517050.0,7166.0,15.7198807995,16.09185774254982,19.2113741105,10.276815644,45.319683818,1.6011824478789067
2024-01-21,12.934572724810682,106895847127.0,7072.0,12.184280256000001,13.035535368647341,17.3922849934,7.971272962,25.387999969,6.157872710135738
2024-01-22,17.89154121387627,107066175822.0,7084.0,15.3041196015,18.028162517161775,28.0531718397,7.910482099,82.360917982,16.906700154922135
2024-01-23,15.053374222528092,107559721243.0,7117.0,13.97969129,15.16823514767669,23.381901246,7.224513461,55.121514833,7.6803050243042374
2024-01-24,12.150396842651952,107890753868.0,7141.0,11.232428839,12.23640511634911,17.396594174,6.302589353,30.702242835,8.172480029116095
2024-01-25,24.070984936427244,107897157665.0,7138.0,22.646485659,24.248632973980104,42.95061525770001,8.045819003,65.008127853,6.290156004232518
2024-01-26,19.173350134344744,107806677082.0,7141.0,19.081292026,19.30554868800462,24.284696078,9.907781605,33.214718109,0.48245217472332014
2024-01-27,12.92713325939837,107624862310.0,7126.0,12.1356640395,13.018787709532559,16.5168643135,8.07297629,36.258631424,6.521845177340458
2024-01-28,11.88077832885943,107888489936.0,7138.0,11.585276463500001,11.971788136079153,14.5549003053,7.058120309,28.296217351,2.5506673603381143
2024-01-29,13.745124953231471,107991132926.0,7137.0,12.650258516,13.849039312507076,21.766985704800003,6.415653503,33.660443915,8.654893778231402
2024-01-30,26.369699674708578,107940522562.0,7151.0,23.975838288,26.538990889181374,41.04041562,9.24173553,152.782995495,9.984474194200402
2024-01-31,24.53481020622795,107737421516.0,7129.0,22.603444146,24.717830633599522,36.6000144614,12.316203227,52.747358867,8.544565366909938
2024-02-01,27.430457651954363,107815064064.0,7127.0,24.56340084,27.66644706604251,42.326017042000004,13.221873426,93.206356102,11.672067848542927
2024-02-02,20.950976962913494,107869357288.0,7123.0,20.52903399,21.159320338106276,26.5903183214,11.688300977,60.23294434,2.0553474319299676
2024-02-03,18.09970915021116,107882343219.0,7117.0,16.066869286,18.287833877596178,23.740865361000004,10.913459813,52.47878437,12.652370714078657
