date,u_t,C_fee,base_fee_gwei,G_eff,gas_price_gwei,S_t,S_regime,l1_tx_count,l2_tx_total,A_t,arbitrum_tx_count,A_arbitrum,optimism_tx_count,A_optimism,base_tx_count,A_base,P_calldata_bytes,P_calldata_mb,eth_close_usd,eth_return_1d,eth_return_1d_log,eth_volatility_30d,eth_price_log,regime_pre_london,regime_post_london,regime_post_merge,regime_post_dencun,weekday,is_weekend,day_of_month,is_month_end,D_star_lite,D_star_lite_evr,D_eth_return,D_cex_volume,D_trends,realized_volatility,cex_volume_log,trends_ethereum,stablecoin_net_usd,D_star
2015-10-05,,,,24.650035936342718,50742818443.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,5,False,,,,,,,,,,
2015-10-06,,,,24.662427128500006,51375494165.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,6,False,,,,,,,,,,
2015-10-07,,,,24.65864034661759,51181314265.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,7,False,,,,,,,,,,
2015-10-08,,,,24.76582347649288,56971870131.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,8,False,,,,,,,,,,
2015-10-09,,,,24.849796365642433,61962572208.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,9,False,,,,,,,,,,
2015-10-10,,,,24.89601026550151,64893302980.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,10,False,,,,,,,,,,
2015-10-11,,,,24.754286701061215,56318375319.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,11,False,,,,,,,,,,
2015-10-12,,,,24.662123601739093,51359902694.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,12,False,,,,,,,,,,
2015-10-13,,,,24.697693059179155,53219625156.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,13,False,,,,,,,,,,
2015-10-14,,,,24.783302378947408,57976429615.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,14,False,,,,,,,,,,
2015-10-15,,,,24.727378350342356,54823147993.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,15,False,,,,,,,,,,
2015-10-16,,,,24.701169204784073,53404946237.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,16,False,,,,,,,,,,
2015-10-17,,,,24.705179627738826,53619552703.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,17,False,,,,,,,,,,
2015-10-18,,,,24.674636318877642,52006592112.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,18,False,,,,,,,,,,
2015-10-19,,,,24.68325618737827,52456819761.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,19,False,,,,,,,,,,
2015-10-20,,,,24.707936083514298,53767556518.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,20,False,,,,,,,,,,
2015-10-21,,,,24.704605821879497,53588794315.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,21,False,,,,,,,,,,
2015-10-22,,,,24.770762322792656,57253941421.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,22,False,,,,,,,,,,
2015-10-23,,,,24.659147292572587,51207267003.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,23,False,,,,,,,,,,
2015-10-24,,,,24.65016796457697,50749518370.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,24,False,,,,,,,,,,
2015-10-25,,,,24.66747215233806,51635339670.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,25,False,,,,,,,,,,
2015-10-26,,,,24.72304324303705,54585998170.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,26,False,,,,,,,,,,
2015-10-27,,,,24.703429198565587,53525777571.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,27,False,,,,,,,,,,
2015-10-28,,,,24.72673699753476,54787998286.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,28,True,,,,,,,,,,
2015-10-29,,,,24.681497207576953,52364630378.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,29,True,,,,,,,,,,
2015-10-30,,,,24.71257795376383,54017718700.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,30,True,,,,,,,,,,
2015-10-31,,,,24.707668698239377,53753181787.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,31,True,,,,,,,,,,
2015-11-01,,,,24.650198902598895,50751088484.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,1,False,,,,,,,,,,
2015-11-02,,,,24.696622176834847,53162663704.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,2,False,,,,,,,,,,
2015-11-03,,,,24.666371464992466,51578536572.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,3,False,,,,,,,,,,
2015-11-04,,,,24.679174357669833,52243136362.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,4,False,,,,,,,,,,
2015-11-05,,,,24.6933749300143,52990311400.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,5,False,,,,,,,,,,
2015-11-06,,,,24.678057303149266,52184810513.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,6,False,,,,,,,,,,
2015-11-07,,,,24.67343924935833,51944373853.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,7,False,,,,,,,,,,
2015-11-08,,,,24.68244575519101,52414324288.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,8,False,,,,,,,,,,
2015-11-09,,,,24.67293666633978,51918274052.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,9,False,,,,,,,,,,
2015-11-10,,,,24.679062347171886,52237284910.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,10,False,,,,,,,,,,
2015-11-11,,,,24.68523745539722,52560853806.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,11,False,,,,,,,,,,
